"Country","timePeriod","yieldStability","productionStability","yield","production","yieldAsynchrony","productionAsynchrony","richness","diversity","nitrogen","nitrogen_ha","irrigation","irrigation_share","meanTemp","instabilityTemp","meanPrec","instabilityPrec","warfare"
"DEU",1971,17.4150288774243,19.1071886097071,15031716.9628602,36484777320000,0.314094585313211,0.118537727272015,2,1.20523916504207,1993928,0.159421138055376,29729852.1,2.377,7.93236456589853,-28.1948681673295,4.50799415059658,-6.53929696281603,0.814760147601476
"DEU",1981,22.6027275160264,22.0403205660398,19398379.267892,50130378140000,0.485105178632694,0.212236846536383,2,1.29236349573457,2186638,0.175957222521747,32186189,2.59,8.0847122966505,-13.9838866247526,4.76484938438433,-8.06692713892484,1.22626695217702
"DEU",1991,30.0548218025559,29.272663628434,23812294.2095068,70530328179000,0.752652403213185,0.415236756871951,3,1.43119914078081,1788060,0.149237561867243,33715378.2,2.814,8.3101522311049,-14.250670747379,4.76230248242711,-8.8841587509452,0.829813664596273
"DEU",2001,14.086089585026,11.7326978439481,25680727.1882877,91081626172000,0.217605051605212,0.0942677593600169,2,1.45623871336503,1728436.3,0.143184411087364,38930265,3.225,8.60459911699698,-25.6031432335882,5.03527550976377,-5.95927403460796,0.504895960832313
"GHA",1961,5.9711644493759,4.97489626301575,3779780.30279437,1133607436000,0.379653404566486,0.216726718879361,2,1.47744481954529,503.1,0.000152454545454545,165000,0.05,20.0598785258024,-128.103525116293,9.62448571833317,-7.02955358281522,0.526492851135408
"GHA",1971,19.3166198702214,6.48725773075695,3480129.12235494,1525225200000,0.226711565198015,0.346380236470135,2,1.64565213696785,6752.1,0.00196854227405248,171500,0.05,20.0714137443938,-91.4634603753267,8.72162084307908,-10.9859315617605,0.814760147601476
"GHA",1981,5.90517528524817,4.11287328726961,3627362.90728317,2106110400000,0.482722684949234,0.0933281530141226,2,1.43948980052957,7657.2,0.00193853164556962,197500,0.05,20.289193555036,-77.7315458078437,8.45792368408612,-8.89025214442117,1.22626695217702
"GHA",1991,16.5478226372733,14.6715280724541,5219344.15166794,3963071808000,0.380730395175008,0.126993813905478,2,1.47636642020927,6333.3,0.00126438410860451,435783,0.087,21.0120770455136,-111.922725137563,8.82635211217191,-10.1737090260975,0.829813664596273
"GHA",2001,17.1229936304723,7.19890258532,5738149.50674843,5567661084000,0.192368581166767,0.105190485561015,2,1.49187729953722,16432.9,0.00239211890066379,1490703.2,0.217,21.6335931559431,-122.885744943626,8.87591652219683,-14.8846428894389,0.504895960832313
"GRC",1961,11.2010120390273,9.88731409605794,5660175.41424474,7354402528000,0.527491016445787,0.39339828550146,3,1.56083174922744,143570,0.0373462008688188,25699145.5,6.685,12.3967659499621,-30.2841052007116,3.85550986073144,-5.74262529534328,0.526492851135408
"GRC",1971,9.48325860199907,7.25161062192774,8834205.99788168,9767516012000,0.60647590436253,0.353067131977733,3,1.58882675119538,280494.7,0.0719937116603783,37819442.7,9.707,11.8804803507358,-36.0153483177698,4.2309704224021,-7.17731186327006,0.814760147601476
"GRC",1981,9.97227289045167,10.7990799869036,13059672.5278079,15367613960000,0.578043730007229,0.494495548641163,3,1.72990328235286,412768.9,0.104737097183456,46823021,11.881,12.0165077700044,-42.686271807547,3.80819507138072,-6.47418414474891,1.22626695217702
"GRC",1991,21.6614006985325,13.698443878334,13752850.0839292,15479185613000,0.83661402251603,0.424496194216829,4,1.78964402221882,330540,0.0847104049205536,54893336,14.068,12.1902383473896,-26.9239859606106,3.81621376477877,-8.60300644018665,0.829813664596273
"GRC",2001,22.2429681696231,16.4121901361248,14690327.5243238,15602364123000,0.656819457258031,0.512299459470532,4,1.88106562466397,202211.3,0.0538010642543568,70137368.5,18.661,12.7601141641156,-32.7892016042028,4.09005690010081,-7.05503047068728,0.504895960832313
"GTM",1961,16.4185407010445,17.917477184786,3369009.96710613,2416705784000,0.517920763279706,0.17431887233017,3,1.30179773954965,15089.1,0.00975315105681598,2535696.9,1.639,15.0758582240153,-93.1166609883395,12.0800866613257,-11.4626442869708,0.526492851135408
"GTM",1971,8.24726543791967,24.9235809751887,5084403.55614508,3289296432000,0.530592445775529,0.35894068443273,3,1.38084662317922,40483.6,0.024362761027863,4170867,2.51,15.4442454489655,-87.2538809151989,11.5756446068032,-12.888085433593,0.814760147601476
"GTM",1981,12.7764884356616,22.6306781745161,6252782.03594262,4306374430000,0.49020380541323,0.564551891647999,3,1.31082627459551,65170,0.036569216093373,4975623.2,2.792,15.4738815902471,-86.6721607726711,11.8099591549693,-14.993019900301,1.22626695217702
"GTM",1991,16.3187041981486,12.2270508426678,6503746.51157725,4289602212000,0.406788384217925,0.268048914146471,4,1.32416791326061,111014.5,0.0586292579878532,5850915,3.09,15.9835711446147,-94.2543427539757,10.8880986781774,-10.7773519575586,0.829813664596273
"GTM",2001,11.4051281775776,23.7496861391582,7686227.0191257,5342468464000,0.598150750209017,0.193307774107276,4,1.206650942291,121879.7,0.0538513437684192,15510134.486,6.853,16.6067974417089,-76.9106464277155,11.7852879967288,-8.51493998113161,0.504895960832313
"GNB",1961,4.90324986475987,9.12622707314265,2661182.40169744,1.32978e+11,0.526093574653191,0.081163422968565,2,1.30267478345362,0,0,351372,1.246,12.6149304808822,-89.712874801971,7.52453683816446,-8.48307793592912,0.526492851135408
"GNB",1971,10.6851971229783,3.14496138176871,2266365.39330899,145201400000,0.515409064695338,0.183076506890492,2,1.42312335019143,126.5,0.000426788124156545,365461.2,1.233,12.8670709592529,-82.5010915362824,6.35518288600369,-5.7483033539299,0.814760147601476
"GNB",1981,6.36171542073372,13.2507493735601,4048803.27910007,324111296000,0.4315031618692,0.284369186664668,2,1.52907067807132,275.2,0.000808698207464002,406658.5,1.195,14.4327113075939,-120.824631298465,6.80027129337051,-9.81706599771365,1.22626695217702
"GNB",1991,15.6915487819889,10.2976570512916,4631758.12166749,371496872000,0.634600484385598,0.43454918378682,2,1.61675777075873,218,0.000506270320483047,582601.8,1.353,16.0392002538892,-92.9950360132313,8.2199365216898,-12.9243732264407,0.829813664596273
"GNB",2001,23.6196959466128,10.8249171632391,4412348.7221237,428973644000,0.434664106226432,0.774980854655723,2,1.69046272359071,1000,0.0018772292096865,824619.6,1.548,15.2543078420066,-127.144697003343,8.05443754358202,-6.83293444727532,0.504895960832313
"GUY",1961,14.0158838928674,5.29001067351646,5426331.67032819,627509440000,0.836290557185887,0.0124422217609099,2,1.05638025927747,5549.6,0.0152629262926293,2833534.8,7.793,19.7842488508717,-123.166484874537,11.8178549482041,-7.58096219143696,0.526492851135408
"GUY",1971,9.52214304399185,4.42275221421023,6399471.98693758,693462776000,0.165815925837663,0.0248483564461369,2,1.08960771556434,7838.6,0.018748146376465,3405424.5,8.145,20.029383013633,-116.666269122013,12.7659284164104,-10.0725484101236,0.814760147601476
"GUY",1981,27.3802437662135,9.40984330494337,8833170.96475965,710872280000,0.658942141067756,0.0449529029256684,2,1.1022700559203,9609.7,0.0192772316950853,3867861.5,7.759,19.428438679381,-86.368372590428,12.0359658103193,-9.29505088272308,1.22626695217702
"GUY",1991,20.2814465568579,6.11634608306171,10401841.563308,1251970484000,0.252741909654747,0.0309358359468384,2,1.11475238652639,11854.1,0.0236372881355932,4339981,8.654,19.5309138997853,-76.1022194213097,12.0736441012044,-7.23097070679969,0.829813664596273
"GUY",2001,24.9683729046816,11.6804622317134,11697808.3098567,1402195032000,0.662303015847169,0.0925245929173993,2,1.1281244946761,11349.2,0.0246721739130435,3980840,8.654,19.3401222368678,-162.789363889104,12.4297998012775,-5.68487992888005,0.504895960832313
"HTI",1961,49.3075396818031,38.4358256002411,3952976.01620089,1030513200000,0.316497982066334,0.24244271117155,2,1.48948956685175,134.5,0.000113742071881607,3117070,2.636,15.9139119960075,-160.261835352057,6.98841940706246,-8.66778111949866,0.526492851135408
"HTI",1971,10.5017711624417,14.9555433439243,3877095.56236607,1007701228000,0.345695072655585,0.592298225015286,2,1.57557782701757,967.3,0.000879123875306735,4784104.4,4.348,15.4543032774364,-76.1875495693111,6.68761458180937,-6.76781643678358,0.814760147601476
"HTI",1981,26.0083675602866,17.8633266301791,3726340.06673659,1018200620000,0.723831679215163,0.28264909910608,2,1.64066511966935,1770,0.00160909090909091,5525300,5.023,15.9103170171544,-99.5012135307335,6.87827528145989,-7.7208086486188,1.22626695217702
"HTI",1991,35.8298730422483,13.2424186951354,3379550.02372976,1107257472000,0.324086236645097,0.411045017793418,2,1.57738092416063,5294.6,0.00466073943661972,6512688,5.733,16.0141794919325,-51.7435390448896,7.03435325684064,-5.09205460808679,0.829813664596273
"HTI",2001,60.5451244367926,9.04719661492575,3229781.73966629,1129026600000,0.450431926085638,0.0243172707382333,2,1.54917606433169,7663,0.00619165778546629,6888665.278,5.566,16.3576289623646,-54.5881514754717,7.27817150470282,-5.95078511605393,0.504895960832313
"HND",1961,50.4703154847582,21.02578813146,4033791.62521542,1165059054000,0.871420776947611,0.200503297264379,3,1.17772482818829,8949.7,0.00592303110522833,3171589,2.099,17.629657754267,-117.785649724252,10.5011397415725,-10.1165737085488,0.526492851135408
"HND",1971,13.7303234978377,12.0624200978544,3921756.30176347,1408893140000,0.514070565383009,0.184168491818087,3,1.22539305349872,12740,0.00765993265993266,3474424.8,2.089,18.0505253743524,-78.1390176672592,9.67590851677923,-6.52387619027992,0.814760147601476
"HND",1981,19.9308054514677,10.1157459945548,5147233.4182435,1807006008000,0.329976854856852,0.0948401816991717,3,1.24725818886266,16493.7,0.00924379308412263,3622129,2.03,18.1380354046619,-106.34770701624,9.72513850152038,-9.91512533859963,1.22626695217702
"HND",1991,7.77013216407257,9.1911006178822,5005687.77744829,2132465156000,0.266926596521778,0.126014212405162,3,1.1664977404623,63025.4,0.0338736966569924,4115647.2,2.212,16.8125263778389,-74.5655346855496,7.46337207979154,-5.20690120903988,0.829813664596273
"HND",2001,19.6410844937818,10.9929184786737,5692026.5809248,1963005852000,0.480940726917426,0.0820278851927495,4,1.15596689442754,65901,0.045543192812716,3912688,2.704,16.7486873445566,-106.879795588222,7.7229223615609,-5.28124152271065,0.504895960832313
"HUN",1961,16.609820912076,13.3238889602317,8826968.85189226,21673955992000,0.697606352910628,0.49433284018604,3,2.08014229821334,217935.8,0.0387530984938741,16522430.6,2.938,8.22510161328664,-16.7032851701236,3.38614036675026,-5.86277069439204,0.526492851135408
"HUN",1971,22.3737121513488,17.3515533301772,14193523.3283134,37882959038000,0.759166445051976,0.769787499844355,3,2.09328332964157,517671.5,0.0947006256402751,19657174.4,3.596,7.85657211687729,-20.3083962327273,3.31771981772556,-6.10406642864158,0.814760147601476
"HUN",1981,15.1931584900216,12.5618374034987,18111858.8059766,44814608386000,0.697180590232141,0.509319233214715,4,2.18818555073672,580409.1,0.109655979595692,14201119,2.683,7.96836342872656,-23.1615149194553,3.0903671408133,-10.662029954548,1.22626695217702
"HUN",1991,5.64994610886042,5.02808927237107,15662548.2157545,34505730597000,0.447227986989982,0.255229113728382,4,2.10400070393159,265454.9,0.052872089549266,18521362.3,3.689,8.23064508749282,-15.069820932988,3.37809863734397,-6.05962334495448,0.829813664596273
"HUN",2001,5.07486121949638,4.57944147527625,17512612.0092601,40873269036000,0.440007125257558,0.0969182473860342,4,2.14009010673643,295154,0.0618434396345807,14589838.2,3.057,8.42375794164119,-19.5726105441481,3.53266207415039,-4.84422665277071,0.504895960832313
"IND",1961,14.3752658706175,10.9318607000787,3909699.18097661,217149976024000,0.532512979410307,0.313475151016331,4,2.33357653214583,790560,0.00484826778805141,2596409156.9,15.923,24.400118653624,-79.6798621526257,8.4126751530718,-8.80651345734862,0.526492851135408
