Monfreda2008,harvestedAreaFAO,Group1,Group2,Calories,Protein,Fat,Considerations1,Considerations2,Considerations3,FoodGroup,GrowthLength,GrowthStructure
ryefor,NA,NA,NA,NA,NA,NA,,,,forage,annual/perennial,herbaceous
safflower,Safflower seed,safflower,safflower,3140000,97000,303000,,,Nutrients from SAFFLOWER,oil crops,annual,herbaceous
sesame,Sesame seed,sesame,sesame,5730000,177000,497000,,,,oil crops,annual,herbaceous
sisal,Sisal,sisal,sisal,NA,NA,NA,,,,fiber,perennial,shrub
sorghum,Sorghum,sorghum,sorghum,3430000,101000,33000,,,,cereals,annual,herbaceous
sorghumfor,NA,sorghum,NA,NA,NA,NA,"multiple species, discrimination not possible",Avoid double counting,,forage,annual,herbaceous
sourcherry,"Cherries, sour",sourcherry,sourcherry,450000,9000,3000,,,,fruit,perennial,tree
soybean,Soybeans,soybean,soybean,3350000,380000,180000,,,,oil crops,annual,herbaceous
spicenes,"Spices, nes",spicenes,spicenes,3370000,113000,155000,,,,other,perennial,tree
spinach,Spinach,spinach,spinach,160000,21000,3000,,,,vegetables and melons,annual,herbaceous
stonefruitnes,"Fruit, stone nes",stonefruitnes,stonefruitnes,520000,9000,3000,,,,fruit,perennial,tree
strawberry,Strawberries,strawberry,strawberry,280000,6000,4000,,,,fruit,perennial,shrub
stringbean,String beans,bean,NA,270000,16000,1000,"multiple species, discrimination not possible",Avoid double counting,,vegetables and melons,annual,herbaceous
sugarbeet,Sugar beet,sugarbeet,sugarbeet,700000,13000,1000,,,,sugar crops,annual,herbaceous
sugarcane,Sugar cane,sugarcane,sugarcane,300000,2000,0,,,,sugar crops,perennial,herbaceous
sugarnes,"Sugar crops, nes",sugarnes,sugarnes,3900000,0,0,,,,sugar crops,annual,herbaceous
sunflower,Sunflower seed,sunflower,sunflower,3080000,123000,268000,,,,oil crops,annual,herbaceous
swedefor,NA,rapeseed,rapeseed,4940000,196000,450000,"Same species, but different varieties",,Nutrients from RAPESEED,forage,annual,herbaceous
sweetpotato,Sweet potatoes,sweetpotato,sweetpotato,920000,7000,2000,,,,roots and tubers,annual,herbaceous
tangetc,"Tangerines, mandarins, clementines, satsumas",tangetc,tangetc,320000,5000,1000,,,,fruit,perennial,tree
taro,Taro (cocoyam),taro,taro,860000,15000,2000,,,,roots and tubers,annual,herbaceous
tea,Tea,tea,tea,400000,100000,0,,,,other,perennial,shrub
tobacco,"Tobacco, unmanufactured",tobacco,tobacco,NA,NA,NA,,,,other,annual,herbaceous
tomato,Tomatoes,tomato,tomato,170000,8000,2000,,,,vegetables and melons,annual,herbaceous
triticale,Triticale,triticale,triticale,3270000,116000,21000,,,,cereals,annual,herbaceous
tropicalnes,"Fruit, tropical fresh nes",tropicalnes,tropicalnes,410000,5000,7000,,,,fruit,perennial,tree
tung,Tung nuts,tung,tung,8840000,0,1000000,,,Nutrients from TUNG OIL,oil crops,perennial,tree
turnipfor,NA,NA,NA,NA,NA,NA,,,,forage,annual,herbaceous
vanilla,Vanilla,vanilla,vanilla,NA,NA,NA,,,,other,perennial,shrub
vegetablenes,"Vegetables, fresh nes",vegetablenes,vegetablenes,220000,14000,2000,,,,vegetables and melons,annual,herbaceous
